Customer_ID,Total_Spend,Years_as_Customer,Num_of_Purchases,Average_Transaction_Amount,Num_of_Returns,Num_of_Support_Contacts,Last_Purchase_Days_Ago,Promotion_Response
1,5892.58,5,22,453.8,2,0,129,Responded
2,9025.47,13,77,22.9,2,2,227,Responded
3,618.83,13,71,50.53,5,2,283,Responded
4,9110.3,3,33,411.83,5,3,226,Ignored
5,5390.88,15,43,101.19,3,0,242,Unsubscribed
6,255.19,19,85,417.78,5,1,130,Unsubscribed
7,3512.55,3,77,316.18,0,3,61,Unsubscribed
8,7270.9,4,87,63.61,3,4,224,Ignored
9,4935.49,1,21,173.8,9,2,126,Responded
10,9803.57,17,34,481.18,6,1,171,Unsubscribed
11,4283.84,15,33,96.55,9,1,92,Responded
12,3333.69,4,10,212.58,0,0,213,Responded
13,8234.55,1,60,160.58,2,1,276,Ignored
14,5524.28,12,4,259.81,5,4,212,Ignored
15,6855.03,17,64,222.85,6,0,125,Ignored
16,8076.45,9,63,466.61,5,0,304,Unsubscribed
17,6747.13,10,9,414.8,7,3,274,Responded
18,4281.83,3,29,294.39,7,0,197,Unsubscribed
19,1335.48,15,14,173.58,7,3,4,Responded
20,5844.46,11,88,378.05,8,4,57,Unsubscribed
21,8984.59,5,72,298.9,1,1,323,Responded
22,4247.04,10,13,89.61,0,4,199,Responded
23,9116.18,14,3,162.9,8,0,193,Responded
24,5084.93,12,78,288.48,2,1,323,Unsubscribed
25,6246.33,9,24,352.98,7,1,119,Unsubscribed
26,8346.59,6,60,167.05,5,2,35,Unsubscribed
27,5689.51,9,74,456.01,2,4,352,Unsubscribed
28,1000.6,3,80,210.02,8,3,317,Unsubscribed
29,9811.7,13,12,83.09,9,4,128,Ignored
30,2533.91,7,10,114.05,6,4,31,Unsubscribed
31,7134,17,63,107.41,7,1,274,Ignored
32,5100.62,18,66,124.56,5,4,325,Responded
33,4839.85,4,91,198,1,4,193,Ignored
34,2515.01,5,12,237.82,5,4,253,Unsubscribed
35,7249.29,11,96,275.72,4,2,196,Responded
36,1216.6,18,49,469.63,2,1,188,Unsubscribed
37,9905.49,19,59,289.28,2,3,102,Responded
38,8469.2,5,76,98.03,2,0,216,Ignored
39,5391.64,16,2,233.12,6,1,260,Unsubscribed
40,4303.07,18,73,92.72,1,2,360,Responded
41,2936,14,26,456.43,3,3,263,Unsubscribed
42,5065.76,17,31,92.5,9,0,202,Responded
43,8806.23,9,34,309.17,6,1,273,Responded
44,2822.56,14,88,293.2,7,0,121,Ignored
45,5055.32,12,21,315.34,8,2,276,Unsubscribed
46,2422.04,3,50,38.72,3,4,84,Ignored
47,3437.78,18,9,151.77,1,0,277,Responded
48,1983.58,7,65,183.3,8,1,234,Responded
49,9906.34,3,35,462.35,3,2,322,Responded
50,5757.82,12,31,308.21,7,2,287,Unsubscribed
51,7354.87,15,85,405.83,5,2,352,Responded
52,1072.67,9,38,253.05,4,4,168,Ignored
53,3724.56,18,23,204.68,6,4,86,Ignored
54,8937.13,8,62,246.96,4,1,110,Unsubscribed
55,935.94,10,43,395.71,3,2,37,Responded
56,1738.28,12,49,54.59,5,3,130,Responded
57,6291.63,5,87,477.3,7,2,4,Responded
58,6265.61,11,21,305.74,2,1,171,Ignored
59,8398.45,3,44,101.25,8,2,21,Unsubscribed
60,9361.38,8,8,31.44,5,2,108,Ignored
61,1505.67,8,66,72.76,7,3,86,Responded
62,2667.8,1,46,62.48,3,1,209,Unsubscribed
63,4331.87,5,31,207.3,9,2,251,Ignored
64,108.94,11,13,349.08,0,4,65,Responded
65,791.16,9,70,132.59,2,0,137,Unsubscribed
66,2342.26,13,57,198.67,8,3,105,Ignored
67,4862.91,7,22,286.46,5,3,261,Responded
68,2590.08,3,70,408.6,1,1,4,Unsubscribed
69,8779.15,12,17,307.76,6,4,323,Ignored
70,3310.3,13,44,100.75,8,4,259,Responded
71,9253.77,16,24,129.65,1,4,262,Unsubscribed
72,9750.39,9,41,191.99,3,1,307,Responded
73,4553.63,9,38,248.66,7,1,182,Responded
74,2348.58,14,49,443.26,0,1,42,Unsubscribed
75,2987.49,1,40,130.87,2,2,138,Responded
76,7785.7,1,39,464.56,0,2,267,Unsubscribed
77,2806.16,16,44,388.99,5,3,284,Unsubscribed
78,3867.77,18,49,166.56,4,3,104,Unsubscribed
79,4837.9,13,1,483.73,5,0,162,Ignored
80,5793.6,17,10,190.7,6,0,85,Responded
81,9961.39,12,16,342.92,7,3,8,Responded
82,2398.88,16,53,468.91,0,0,219,Responded
83,3598.89,1,54,396.71,7,2,87,Unsubscribed
84,2702.62,15,5,444.39,7,3,8,Unsubscribed
85,3675.02,5,29,89.22,4,1,112,Unsubscribed
86,1097.96,19,36,325.33,8,4,227,Ignored
87,3662.12,18,21,49.15,8,1,303,Ignored
88,8889.86,9,7,490.18,4,0,240,Responded
89,3056.04,5,42,352.16,3,1,111,Responded
90,3782.15,11,32,61.07,3,3,269,Unsubscribed
91,9450.29,2,90,398.57,1,3,276,Responded
92,7310.95,2,81,236.53,9,0,340,Unsubscribed
93,5215.71,15,69,48.96,6,3,23,Responded
94,7794.21,19,14,404.14,2,1,335,Unsubscribed
95,1319.48,4,34,27.27,4,4,325,Responded
96,4698.45,17,18,399.71,6,0,207,Ignored
97,1270.54,6,66,291.37,9,4,223,Responded
98,2412.82,4,90,11.33,9,2,278,Responded
99,1504.49,16,48,228.21,9,4,209,Ignored
100,3681.83,14,87,309.19,2,3,147,Ignored
101,3878.23,9,43,110.51,5,1,353,Responded
102,9478.35,8,23,125.7,8,4,82,Ignored
103,2714.84,12,82,41.71,8,4,266,Ignored
104,4777.05,9,68,338.17,5,1,95,Ignored
105,8132.66,9,20,105.31,0,0,261,Unsubscribed
106,8174.61,19,47,431.93,4,1,173,Unsubscribed
107,7528.4,6,30,381.68,8,2,162,Ignored
108,2949.55,7,69,55.55,2,4,144,Unsubscribed
109,5000.22,6,85,283.26,9,1,255,Ignored
110,1943.49,12,31,212.13,5,4,195,Responded
111,1965.16,16,45,391.58,0,0,169,Responded
112,4414.83,13,80,334.47,9,4,145,Responded
113,7412.06,5,34,48.3,4,4,78,Responded
114,5313.18,4,5,491.01,3,1,150,Responded
115,8878.16,19,84,135.89,7,0,332,Ignored
116,8326,18,38,135.22,2,2,82,Ignored
117,412.89,13,53,159.35,2,1,112,Responded
118,5727.35,13,65,488.27,0,1,58,Ignored
119,6130.7,1,18,403.85,0,0,38,Responded
120,9619.59,1,18,52.17,8,3,203,Unsubscribed
121,330.04,7,40,214.81,6,4,362,Ignored
122,5357.93,4,19,429.09,2,1,259,Responded
123,2127.34,10,6,181.12,5,0,121,Responded
124,631.26,9,99,152.79,1,1,216,Ignored
125,5916.14,4,4,323.31,7,0,199,Responded
126,7748.78,11,59,190.16,9,0,21,Ignored
127,7771.17,13,1,89.19,4,2,21,Unsubscribed
128,399.86,9,36,246.8,0,0,190,Ignored
129,4128.77,7,26,407.73,3,0,359,Ignored
130,540.65,8,85,423.82,5,3,50,Unsubscribed
131,2553.6,19,94,311.67,6,4,326,Unsubscribed
132,2009.52,16,66,499.57,5,2,337,Unsubscribed
133,2230.31,5,15,492.49,5,4,245,Responded
134,3457.27,12,45,126.96,1,1,179,Unsubscribed
135,2846.44,12,5,387.75,0,2,208,Ignored
136,9626.57,13,71,100.11,7,2,296,Responded
137,3588.83,1,18,211.59,3,0,274,Responded
138,8952.31,6,94,14.88,3,3,352,Unsubscribed
139,1892.31,7,62,108.7,1,0,27,Unsubscribed
140,7661.09,14,57,119.57,4,3,30,Unsubscribed
141,707.32,6,2,494,8,2,140,Responded
142,4681.34,19,17,30.41,5,2,231,Unsubscribed
143,154.55,13,67,473.47,8,3,322,Unsubscribed
144,8121.88,15,79,420.71,6,0,303,Unsubscribed
145,9509.81,4,50,21.01,7,0,254,Unsubscribed
146,447.56,10,25,77,5,2,236,Unsubscribed
147,9345.08,6,70,318.22,0,0,49,Responded
148,7761.15,2,22,181.89,4,2,120,Responded
149,3652.73,2,9,177.27,3,2,231,Ignored
150,9097.88,1,73,351.27,8,1,52,Ignored
151,3032.95,16,34,497.43,5,3,4,Ignored
152,4152.02,11,70,173.03,6,3,338,Responded
153,1057.44,13,97,462.29,5,1,319,Unsubscribed
154,6603.7,14,1,366.94,5,1,5,Unsubscribed
155,393.05,4,44,425.02,0,4,82,Unsubscribed
156,4900.56,11,7,259.33,0,2,227,Ignored
157,6863.6,10,15,271.31,7,4,196,Responded
158,8230.25,6,38,277.77,7,2,50,Ignored
159,1584.42,14,93,286.92,8,3,114,Ignored
160,7565.49,9,81,80.78,2,4,148,Ignored
161,7218.86,18,54,111.45,1,2,303,Unsubscribed
162,5639.75,14,30,85.33,7,3,339,Unsubscribed
163,5887.98,4,83,103.58,6,3,296,Unsubscribed
164,1003.58,1,94,335.83,0,1,331,Ignored
165,6044.66,15,4,111.19,0,1,126,Ignored
166,3877.07,15,75,440.41,6,4,222,Responded
167,8689.05,7,42,68.54,5,0,201,Unsubscribed
168,3199.68,16,40,494.48,5,0,127,Ignored
169,5808.29,6,97,10.7,7,3,99,Responded
170,4323.06,1,33,423.5,0,2,188,Ignored
171,8774.99,8,29,10.98,0,4,214,Ignored
172,2613.78,8,15,394.88,5,4,239,Ignored
173,880.14,18,96,366.55,5,4,6,Responded
174,7511.69,1,99,350.32,1,2,69,Responded
175,4187.68,16,63,181.93,5,3,37,Responded
176,5932.07,12,62,317.27,1,2,125,Unsubscribed
177,361.25,12,68,303.71,5,4,40,Responded
178,9525.89,19,14,372.37,9,2,119,Unsubscribed
179,8788.42,12,19,357.91,7,3,86,Ignored
180,6276.29,7,82,131.63,4,0,250,Unsubscribed
181,268.6,8,62,357.7,7,4,165,Responded
182,3841.97,4,35,163.11,2,0,175,Unsubscribed
183,9790.09,6,99,198.9,0,1,205,Responded
184,6845.17,18,84,151.01,3,0,206,Ignored
185,1693.78,1,69,372.21,8,1,196,Responded
186,4659.91,12,76,418.99,2,2,174,Responded
187,9670.7,2,22,131.84,2,1,41,Unsubscribed
188,5393.61,19,4,261.9,0,0,106,Responded
189,343.68,15,35,355.75,3,3,185,Responded
190,6235.74,19,84,414.02,0,3,287,Unsubscribed
191,2785.04,10,91,366.36,7,0,338,Unsubscribed
192,1078.57,7,73,58.6,3,0,348,Responded
193,4088.79,5,79,345.2,7,1,324,Responded
194,5629.38,12,36,453.65,1,0,283,Unsubscribed
195,268.7,18,77,226.57,5,0,43,Ignored
196,5634.56,1,82,373.88,5,0,204,Unsubscribed
197,5160.91,12,88,481.34,7,0,122,Unsubscribed
198,7959.69,19,82,350.04,0,4,148,Responded
199,4293.14,9,97,151.97,3,4,342,Unsubscribed
200,5579.16,3,50,231.52,3,3,101,Unsubscribed
201,7445.89,19,12,239.67,6,1,53,Ignored
202,8981.74,7,67,426.03,0,3,234,Responded
203,3862.34,15,23,484.45,1,3,242,Responded
204,6056.17,12,69,300.67,7,1,237,Ignored
205,6976.65,2,42,47.69,6,1,232,Unsubscribed
206,528.38,14,43,475.28,8,3,110,Ignored
207,8027.53,14,16,497.07,7,0,222,Unsubscribed
208,3836.56,2,60,203.83,2,0,338,Unsubscribed
209,6735.37,11,61,414.66,6,2,14,Ignored
210,4769.47,14,82,222.6,1,2,191,Responded
211,7053.16,15,78,350.78,8,2,322,Responded
212,7270.88,1,96,30.52,4,3,119,Unsubscribed
213,1996.55,12,4,446.44,9,1,278,Responded
214,6655.52,8,46,31.95,5,4,76,Ignored
215,8528.1,4,26,117.83,8,1,341,Ignored
216,2432.12,15,52,288.2,2,4,202,Ignored
217,7606.02,1,29,442.5,9,1,268,Ignored
218,6374.87,9,83,143.52,1,1,136,Ignored
219,9555.75,4,96,53.77,3,4,157,Responded
220,2676.44,12,24,406.69,1,0,144,Unsubscribed
221,1627.35,2,11,186.06,3,2,358,Ignored
222,3190,7,14,374.37,8,3,348,Unsubscribed
223,2653.79,15,78,104.27,8,3,150,Unsubscribed
224,7592.64,5,14,124.1,7,0,282,Ignored
225,7357.78,11,84,183.49,9,0,217,Unsubscribed
226,6729.88,4,66,394.48,4,3,202,Responded
227,2242.15,16,4,469.79,7,4,74,Unsubscribed
228,8631.89,7,13,395.73,1,3,252,Unsubscribed
229,9570.06,12,9,13.81,3,1,130,Ignored
230,5362.9,3,11,406.14,0,4,349,Responded
231,6528.79,4,7,321.85,0,0,121,Ignored
232,5056.85,18,53,401.28,3,3,232,Ignored
233,2907.22,11,32,290.44,8,0,293,Responded
234,2932.86,1,44,24.04,3,4,221,Ignored
235,3202.86,7,96,403.53,1,1,44,Unsubscribed
236,1989.42,2,22,47.42,4,1,196,Responded
237,9029.04,15,14,180.64,9,0,10,Responded
238,8598.14,4,72,274.89,6,4,164,Ignored
239,4670.23,18,46,150.08,6,1,7,Responded
240,3735.79,8,29,382.26,6,1,231,Ignored
241,9396.88,15,83,487.32,1,1,82,Unsubscribed
242,2301.5,12,30,236.66,1,4,86,Ignored
243,5580.07,14,62,476.85,8,1,126,Ignored
244,639.53,1,27,459.35,7,4,204,Responded
245,1992.9,1,51,410.95,0,0,297,Responded
246,6079.87,19,16,366.16,6,4,264,Ignored
247,6655.62,18,47,19.81,6,0,28,Unsubscribed
248,5851.86,10,66,451.79,3,0,298,Ignored
249,8709.05,6,52,290.57,3,1,320,Unsubscribed
250,9934.71,13,26,74.47,8,0,347,Ignored
251,7662.23,18,19,348.79,2,0,203,Responded
252,4704.41,4,40,143.23,8,2,229,Unsubscribed
253,8355.95,4,49,348.95,1,2,294,Ignored
254,1291.84,3,46,49.41,3,2,97,Unsubscribed
255,6864.38,6,23,487.78,4,3,6,Unsubscribed
256,5231.54,7,28,42.6,4,4,253,Ignored
257,1862.85,9,76,435.18,3,4,314,Unsubscribed
258,9732.04,1,45,164.79,3,2,202,Ignored
259,3450.53,13,39,153.62,3,1,347,Ignored
260,6192.69,7,1,203.54,4,2,44,Unsubscribed
261,8798.08,8,10,388.55,7,4,295,Ignored
262,5116.22,10,23,107.88,9,2,89,Responded
263,1239.86,7,70,229.07,3,1,133,Unsubscribed
264,8205.52,6,24,249.51,2,4,75,Responded
265,3596.82,5,71,454.69,1,0,218,Responded
266,9832.36,8,87,281.88,2,1,125,Responded
267,8849.87,16,88,322.94,3,3,310,Responded
268,8549.15,4,66,448.1,9,2,176,Responded
269,3626.91,8,56,173.34,2,4,28,Responded
270,7595.58,9,56,45.4,6,1,90,Ignored
271,9864.66,19,27,396.37,5,3,28,Ignored
272,5310.58,15,32,381.78,7,4,131,Unsubscribed
273,4760.25,8,20,168.91,6,4,319,Responded
274,245.19,3,62,474.5,7,2,364,Ignored
275,7032.02,3,26,418.51,1,1,2,Responded
276,8598.93,17,72,11.38,9,0,265,Unsubscribed
277,2549.83,14,12,61.78,2,4,360,Ignored
278,3218.74,14,58,237.63,3,1,57,Ignored
279,5056.7,2,56,456.05,8,3,311,Ignored
280,813.59,14,18,96.37,1,0,61,Responded
281,987.46,11,55,337.79,7,4,314,Responded
282,4269,14,1,435.33,2,2,22,Ignored
283,2686.07,7,12,465.64,2,2,130,Responded
284,4119.77,19,37,331.47,7,0,62,Unsubscribed
285,4598.42,8,78,182.89,8,4,5,Ignored
286,9765.11,14,9,188.27,0,4,274,Ignored
287,9448.17,4,64,383.5,3,3,132,Responded
288,1483.33,11,11,436.71,9,3,287,Responded
289,8837.6,4,90,481.32,6,2,173,Unsubscribed
290,894.05,6,10,382.03,6,2,307,Ignored
291,5125.59,6,85,283.81,7,4,88,Unsubscribed
292,1722.71,2,5,457.4,4,1,81,Unsubscribed
293,3722.33,19,60,471.97,9,3,128,Ignored
294,7459.07,1,40,239.12,4,0,346,Unsubscribed
295,4302.6,13,81,474.71,3,0,92,Ignored
296,8088.82,14,83,305.59,8,0,16,Responded
297,7216.28,3,79,210.42,7,2,25,Ignored
298,9434.11,19,88,442.58,9,1,258,Responded
299,5388.14,17,53,215.65,2,0,181,Responded
300,8041.26,4,49,186.57,8,2,267,Responded
301,3296.78,13,31,411.17,9,3,330,Unsubscribed
302,3522.88,9,4,487.78,1,3,330,Unsubscribed
303,4065.05,4,11,334.83,2,1,130,Responded
304,4168.07,10,33,168.63,5,2,75,Unsubscribed
305,1122.21,13,22,419.47,3,4,42,Unsubscribed
306,5239.08,18,42,457.81,1,3,107,Ignored
307,1058.35,12,98,83.04,6,2,30,Ignored
308,8908.65,16,19,161.62,1,1,77,Responded
309,712.26,1,98,312.37,8,3,193,Ignored
310,4551.97,14,52,172.97,5,2,350,Responded
311,2918.47,7,77,312.85,9,4,67,Unsubscribed
312,1633.21,5,64,415.34,3,4,70,Unsubscribed
313,7859.98,2,53,77.86,3,1,17,Responded
314,7177.83,4,67,315.85,7,3,15,Unsubscribed
315,1544.88,10,90,335.05,6,1,11,Ignored
316,6364.38,15,95,438.16,4,4,133,Ignored
317,7946.3,19,52,359.32,5,1,7,Responded
318,7755.99,15,93,396.61,5,3,109,Ignored
319,1013.57,19,42,91.1,2,3,152,Ignored
320,6886.58,10,18,74.91,3,2,86,Unsubscribed
321,7188.64,3,15,453.21,8,2,261,Responded
322,8635.45,11,60,91.1,5,0,56,Responded
323,5129.64,18,61,191.48,9,2,105,Unsubscribed
324,4664.83,2,14,397.18,3,0,258,Responded
325,9654.65,18,98,39.62,4,2,206,Unsubscribed
326,7985.47,15,23,264.81,9,3,172,Responded
327,5631.44,16,62,277.49,6,3,42,Responded
328,3373.11,19,89,11.99,2,1,351,Responded
329,8467.86,19,31,202.64,8,3,105,Unsubscribed
330,4608.82,12,11,454.51,5,3,78,Unsubscribed
331,1017.58,6,4,218.86,5,0,348,Unsubscribed
332,4603.55,12,32,457.61,8,1,40,Ignored
333,8732.49,7,33,164.72,9,3,263,Responded
